"Value","Margin_Of_Error","Population","Sheet","Scenario","Variable","Topic","Quantile","Poverty_Type","Population_Type","Winner_Loser","Eq_DI_Quantile","WnL_Group","Rounding_Rule","Name"
"46700","700","5061000","Quantiles","SQ","BHC_Median","Poverty",0.5,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"35600","700","4743000","Quantiles","SQ","Fixed_AHC_Median","Poverty",0.5,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"24600","200","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.1,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"27700","300","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.2,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"32800","500","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.3,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"39100","600","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.4,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"46200","700","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.5,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"53700","700","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.6,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"63300","900","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.7,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"74600","1100","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.8,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"93700","1700","1848000","Quantiles","SQ","Quantile_Boundary","WnL",0.9,NA,NA,NA,NA,NA,"Poverty_Quantile","SQ"
"1848000","1000","1848000","Values","SQ","Total_Population","Poverty",NA,NA,"Households",NA,NA,NA,"Poverty_Population","SQ"
"2691000","15000","2691000","Values","SQ","Total_Population","Poverty",NA,NA,"Families",NA,NA,NA,"Poverty_Population","SQ"
"3906000","7000","3906000","Values","SQ","Total_Population","Poverty",NA,NA,"Adults",NA,NA,NA,"Poverty_Population","SQ"
"1155000","7000","1155000","Values","SQ","Total_Population","Poverty",NA,NA,"Children",NA,NA,NA,"Poverty_Population","SQ"
"246000","15000","246000","Values","SQ","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Households",NA,NA,NA,"Poverty_Population","SQ"
"323000","20000","323000","Values","SQ","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Families",NA,NA,NA,"Poverty_Population","SQ"
"415000","25000","415000","Values","SQ","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Adults",NA,NA,NA,"Poverty_Population","SQ"
"160000","17000","160000","Values","SQ","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Children",NA,NA,NA,"Poverty_Population","SQ"
"131000","9000","131000","Values","SQ","Population_In_Poverty","Poverty",NA,"BHC","Households",NA,NA,NA,"Poverty_Population","SQ"
"183000","14000","183000","Values","SQ","Population_In_Poverty","Poverty",NA,"BHC","Families",NA,NA,NA,"Poverty_Population","SQ"
"232000","17000","232000","Values","SQ","Population_In_Poverty","Poverty",NA,"BHC","Adults",NA,NA,NA,"Poverty_Population","SQ"
"92000","13000","92000","Values","SQ","Population_In_Poverty","Poverty",NA,"BHC","Children",NA,NA,NA,"Poverty_Population","SQ"
"10.6","0.7","415000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Adults",NA,NA,NA,"Poverty_Percentage","SQ"
"13.8","1.5","160000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Children",NA,NA,NA,"Poverty_Percentage","SQ"
"12","0.8","323000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Families",NA,NA,NA,"Poverty_Percentage","SQ"
"13.3","0.8","246000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Households",NA,NA,NA,"Poverty_Percentage","SQ"
"5.9","0.5","232000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"BHC","Adults",NA,NA,NA,"Poverty_Percentage","SQ"
"7.9","1.1000000000000001","92000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"BHC","Children",NA,NA,NA,"Poverty_Percentage","SQ"
"6.8","0.6","183000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"BHC","Families",NA,NA,NA,"Poverty_Percentage","SQ"
"7.1","0.5","131000","Values","SQ","Percentage_In_Poverty","Poverty",NA,"BHC","Households",NA,NA,NA,"Poverty_Percentage","SQ"
"2667714000","194463000","246000","Values","SQ","Total_Depth_Of_Poverty","Poverty",NA,"Fixed_AHC","Household",NA,NA,NA,"Poverty_Total_Depth","SQ"
"1396787000","134659000","131000","Values","SQ","Total_Depth_Of_Poverty","Poverty",NA,"BHC","Household",NA,NA,NA,"Poverty_Total_Depth","SQ"
"10800","600","246000","Values","SQ","Average_Depth_Of_Poverty","Poverty",NA,"Fixed_AHC","Household",NA,NA,NA,"Poverty_Average_Depth","SQ"
"10700","800","131000","Values","SQ","Average_Depth_Of_Poverty","Poverty",NA,"BHC","Household",NA,NA,NA,"Poverty_Average_Depth","SQ"
"46700","700","5061000","Quantiles","FTC5a42.7k25","BHC_Median","Poverty",0.5,NA,NA,NA,NA,NA,"Poverty_Quantile","FTC5a42.7k25"
"0","100","5061000","Values","FTC5a42.7k25","BHC_Change_In_Median","Poverty",0.5,NA,NA,NA,NA,NA,"Poverty_Quantile","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","ACC_LevyPayable","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"-3396000","294000","5061000","Values","FTC5a42.7k25","Accommodation_Supplement","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Benefits_All_Taxable","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Benefits_WinterEnergy","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","BestStartTaxCredit","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Core_Benefits_Gross","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Core_Benefits_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"157755000","5294000","5061000","Values","FTC5a42.7k25","Disposable_Income","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"157755000","5294000","5061000","Values","FTC5a42.7k25","Disposable_Income_less_Earning","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"162071000","5274000","5061000","Values","FTC5a42.7k25","FamilyAssistance_Total","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"142774000","5371000","5061000","Values","FTC5a42.7k25","FamilyTaxCredit_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"19585000","2338000","5061000","Values","FTC5a42.7k25","InWorkTaxCredit_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Income_TaxPayable","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","JobSeekerSupport_Gross","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","JobSeekerSupport_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","MinimumFamilyTaxCredit","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","ParentalTaxCredit_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","SelfEmployment_Income","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","SoleParentSupport_Gross","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","SoleParentSupport_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Super_Gross","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Super_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Super_Tax","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","SupportedLivingPayment_Gross","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","SupportedLivingPayment_Net","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"-906000","562000","5061000","Values","FTC5a42.7k25","TaxCredit_IETC","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","TaxPrivate_Cost","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","Tax_Benefits","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"0","0","5061000","Values","FTC5a42.7k25","WageSalary_Income","Fiscals",NA,NA,NA,NA,NA,NA,"Fiscal_Value","FTC5a42.7k25"
"1848000","1000","1848000","Values","FTC5a42.7k25","Total_Population","Poverty",NA,NA,"Households",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"2691000","15000","2691000","Values","FTC5a42.7k25","Total_Population","Poverty",NA,NA,"Families",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"3906000","7000","3906000","Values","FTC5a42.7k25","Total_Population","Poverty",NA,NA,"Adults",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"1155000","7000","1155000","Values","FTC5a42.7k25","Total_Population","Poverty",NA,NA,"Children",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"243000","14000","243000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Households",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"320000","19000","320000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Families",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"410000","24000","410000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Adults",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"151000","16000","151000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"Fixed_AHC","Children",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"129000","9000","129000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"BHC","Households",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"181000","14000","181000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"BHC","Families",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"228000","17000","228000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"BHC","Adults",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"87000","12000","87000","Values","FTC5a42.7k25","Population_In_Poverty","Poverty",NA,"BHC","Children",NA,NA,NA,"Poverty_Population","FTC5a42.7k25"
"10.5","0.6","410000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Adults",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"13.1","1.4","151000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Children",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"11.9","0.7","320000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Families",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
"13.1","0.8","243000","Values","FTC5a42.7k25","Percentage_In_Poverty","Poverty",NA,"Fixed_AHC","Households",NA,NA,NA,"Poverty_Percentage","FTC5a42.7k25"
